memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,warm,False,48345,1.190204,1282551,60462,
256,warm,False,61611,1.400994,1584043,135226,
256,warm,False,54580,1.185036,1327189,106820,
256,warm,False,54888,0.995493,1086989,66781,
256,warm,False,52689,1.327682,1517379,161694,
256,warm,False,65777,1.237121,1348967,75590,
256,warm,False,55652,1.153012,1256139,72996,
256,warm,False,47600,1.280186,1372527,75343,
256,warm,False,40472,1.525522,1616620,66122,
256,warm,False,48359,1.230992,1376242,111892,
256,warm,False,63194,1.20941,1320358,86331,
256,warm,False,78109,1.330534,1436105,84058,
256,warm,False,51881,0.91588,996280,56958,
256,warm,False,56790,1.111356,1199332,61366,
256,warm,False,47445,1.172831,1313052,113046,
256,warm,False,64689,1.133377,1228882,76296,
256,warm,False,51081,1.256223,2337194,1046474,
256,warm,False,160957,1.14841,1634549,221930,
256,warm,False,49513,1.243879,1318466,59160,
256,warm,False,45851,1.144944,1239375,58391,
256,warm,False,40302,1.233754,1311258,45107,
256,warm,False,53666,1.15795,1250997,65601,
256,warm,False,49774,1.361309,1439726,59774,
256,warm,False,49982,0.996555,1072564,60880,
256,warm,False,46125,1.120042,1199988,54883,
256,warm,False,53043,1.197211,1313650,68410,
256,warm,False,50886,1.269501,1356339,61644,
256,warm,False,156236,0.974151,1173773,165687,
256,warm,False,53709,1.03335,1134532,64083,
256,warm,False,162150,1.087785,1302738,171076,
256,warm,False,62895,1.104467,1200475,72926,
256,warm,False,46531,1.120411,1188309,54082,
256,warm,False,53675,1.408636,1493974,60224,
256,warm,False,48377,1.122594,1207203,60246,
256,warm,False,68861,1.142475,1255869,81111,
256,warm,False,55546,1.212206,1302919,64430,
256,warm,False,49251,1.033839,1117078,57155,
256,warm,False,152264,1.055596,1260493,171659,
256,warm,False,48153,1.171774,1260206,56095,
256,warm,False,70493,1.172006,1332153,133101,
256,warm,False,53120,1.14197,1226471,64444,
256,warm,False,68079,1.210553,1324014,77406,
256,warm,False,64331,1.419437,1511556,74874,
256,warm,False,54377,1.313578,1404210,59927,
256,warm,False,49876,1.509986,2325925,794626,
256,warm,False,58317,1.15308,1255031,68162,
256,warm,False,46752,1.149245,1304924,121995,
256,warm,False,73069,1.222814,1333965,80117,
256,warm,False,152264,1.13881,1325720,162859,
256,warm,False,46852,1.452398,1526953,54980,
256,warm,False,73016,1.246304,1344864,81458,
256,warm,False,59365,1.321087,1406956,69265,
256,warm,False,45562,1.300715,1398927,54598,
256,warm,False,153995,1.125045,1313847,163995,
256,warm,False,54045,1.07675,1178405,66078,
